feature,shap_importance,compartment,feature_type
Nuclei_Texture_Contrast_Mito_10_03_256,0.0029520134990317663,Nuclei,Texture
Cells_RadialDistribution_MeanFrac_mito_tubeness_15of16,0.002951728703792469,Cells,RadialDistribution
Cells_Texture_SumEntropy_DNA_10_00_256,0.002930535761770443,Cells,Texture
Cells_RadialDistribution_MeanFrac_mito_tubeness_16of20,0.00292876626596678,Cells,RadialDistribution
Cells_Granularity_13_AGP,0.0029284595045568755,Cells,Granularity
Cells_Texture_SumEntropy_DNA_5_00_256,0.0029274825223157158,Cells,Texture
Nuclei_Texture_InfoMeas1_AGP_5_01_256,0.0029272354916403337,Nuclei,Texture
Cytoplasm_Texture_Correlation_Mito_5_00_256,0.002925122644415491,Cytoplasm,Texture
Cytoplasm_RadialDistribution_RadialCV_DNA_3of4,0.002919469133155092,Cytoplasm,RadialDistribution
Cells_RadialDistribution_RadialCV_mito_tubeness_20of20,0.0029168646708525817,Cells,RadialDistribution
Nuclei_Granularity_6_AGP,0.002914963625236331,Nuclei,Granularity
Cytoplasm_Granularity_11_RNA,0.0028991154682756004,Cytoplasm,Granularity
Cells_Texture_Entropy_DNA_10_01_256,0.0028978073030884845,Cells,Texture
Cells_Texture_SumEntropy_DNA_3_02_256,0.002897191336742253,Cells,Texture
Cells_Texture_SumEntropy_DNA_10_01_256,0.002896670033166759,Cells,Texture
Cytoplasm_Intensity_MeanIntensity_RNA,0.002896455517225799,Cytoplasm,Intensity
Nuclei_RadialDistribution_MeanFrac_Mito_2of4,0.00289437564777992,Nuclei,RadialDistribution
Cells_Granularity_15_RNA,0.002894317663724775,Cells,Granularity
Cells_Texture_SumEntropy_DNA_10_02_256,0.002890220554462368,Cells,Texture
Nuclei_Intensity_MinIntensity_ER,0.002884613636831221,Nuclei,Intensity
Nuclei_Intensity_MinIntensityEdge_AGP,0.0028812972046788283,Nuclei,Intensity
Nuclei_Granularity_15_ER,0.0028792902543708417,Nuclei,Granularity
Cells_Correlation_RWC_Mito_ER,0.0028721818624554934,Cells,Correlation
Cells_RadialDistribution_RadialCV_RNA_1of4,0.0028657397324059275,Cells,RadialDistribution
Cells_RadialDistribution_FracAtD_mito_tubeness_3of16,0.0028650811292004618,Cells,RadialDistribution
Cells_Texture_SumEntropy_DNA_5_02_256,0.0028616019401254433,Cells,Texture
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_15of16,0.0028609610456000415,Cytoplasm,RadialDistribution
Nuclei_Texture_Contrast_DNA_10_00_256,0.0028581499704471622,Nuclei,Texture
Cells_RadialDistribution_MeanFrac_Mito_4of4,0.0028527206092154042,Cells,RadialDistribution
Nuclei_Texture_SumVariance_DNA_5_01_256,0.0028502723623075456,Nuclei,Texture
Cytoplasm_Texture_InfoMeas1_AGP_10_03_256,0.002848994817239665,Cytoplasm,Texture
Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_19of20,0.0028476058964068737,Cytoplasm,RadialDistribution
Cytoplasm_Texture_InfoMeas1_AGP_10_01_256,0.0028463099523339352,Cytoplasm,Texture
Cells_RadialDistribution_RadialCV_RNA_2of4,0.0028458645702578774,Cells,RadialDistribution
Cells_Texture_AngularSecondMoment_Mito_10_01_256,0.0028447479679224283,Cells,Texture
Cells_Granularity_5_Mito,0.0028395157286390063,Cells,Granularity
Nuclei_RadialDistribution_RadialCV_AGP_2of4,0.0028354036283157517,Nuclei,RadialDistribution
Cells_Texture_InfoMeas1_DNA_10_01_256,0.0028353043708401466,Cells,Texture
Cells_Intensity_MedianIntensity_AGP,0.0028341236337811487,Cells,Intensity
Cytoplasm_Intensity_IntegratedIntensityEdge_RNA,0.002827746502516675,Cytoplasm,Intensity
Cells_Texture_Entropy_DNA_10_00_256,0.002824539352638697,Cells,Texture
Cytoplasm_Granularity_16_Mito,0.0028173052645797726,Cytoplasm,Granularity
Nuclei_Texture_Contrast_DNA_5_03_256,0.0028070331821592326,Nuclei,Texture
Nuclei_Correlation_RWC_RNA_DNA,0.0028067429327451724,Nuclei,Correlation
Cells_Texture_SumEntropy_DNA_3_01_256,0.0028027799447694892,Cells,Texture
Cells_Intensity_MeanIntensityEdge_RNA,0.0028008478702914934,Cells,Intensity
Cells_Texture_InfoMeas2_DNA_10_01_256,0.002791716352361878,Cells,Texture
Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_18of20,0.0027868230980779376,Cytoplasm,RadialDistribution
Cells_RadialDistribution_FracAtD_DNA_1of4,0.00278586272735473,Cells,RadialDistribution
Cells_Granularity_14_DNA,0.0027796236912971447,Cells,Granularity
Cells_Intensity_MeanIntensityEdge_Mito,0.002778676924260383,Cells,Intensity
Cytoplasm_Texture_Contrast_RNA_10_01_256,0.0027781902070111233,Cytoplasm,Texture
Cytoplasm_Granularity_8_Mito,0.002774671597102757,Cytoplasm,Granularity
Cells_Texture_Entropy_DNA_10_02_256,0.002773545432989652,Cells,Texture
Cells_Texture_AngularSecondMoment_Mito_5_01_256,0.0027717884872994806,Cells,Texture
