feature,shap_importance,compartment,feature_type
Nuclei_Texture_InfoMeas2_AGP_5_00_256,0.0025183849624487004,Nuclei,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_11of16,0.0025176559246028775,Cells,RadialDistribution
Nuclei_RadialDistribution_MeanFrac_RNA_4of4,0.0025156843730993776,Nuclei,RadialDistribution
Cells_Correlation_K_ER_DNA,0.002515562365080249,Cells,Correlation
Nuclei_RadialDistribution_RadialCV_RNA_2of4,0.0025102164244422704,Nuclei,RadialDistribution
Cells_Texture_AngularSecondMoment_Mito_10_00_256,0.0025073597993884636,Cells,Texture
Nuclei_Texture_SumVariance_Mito_3_03_256,0.0024951512820530295,Nuclei,Texture
Cells_Intensity_StdIntensityEdge_RNA,0.00249418343450608,Cells,Intensity
Nuclei_Intensity_StdIntensity_AGP,0.002486948112190086,Nuclei,Intensity
Cytoplasm_Texture_InfoMeas2_AGP_5_02_256,0.0024857108356705535,Cytoplasm,Texture
Nuclei_Texture_Contrast_Mito_3_02_256,0.002485709537452619,Nuclei,Texture
Nuclei_Texture_SumVariance_Mito_3_01_256,0.0024854371466796824,Nuclei,Texture
Cytoplasm_Granularity_3_RNA,0.002485191435761018,Cytoplasm,Granularity
Nuclei_Texture_Contrast_Mito_3_00_256,0.0024811908428611267,Nuclei,Texture
Cells_Correlation_K_Mito_ER,0.002478755141073634,Cells,Correlation
Cytoplasm_Texture_InfoMeas1_AGP_5_03_256,0.002478427132113471,Cytoplasm,Texture
Nuclei_Intensity_MassDisplacement_DNA,0.00247451963758067,Nuclei,Intensity
Nuclei_Texture_Contrast_AGP_5_00_256,0.0024725397032671027,Nuclei,Texture
Cells_RadialDistribution_MeanFrac_mito_tubeness_3of16,0.00246884506722511,Cells,RadialDistribution
Cells_Intensity_MaxIntensityEdge_ER,0.0024682455477367123,Cells,Intensity
Nuclei_Granularity_2_RNA,0.0024652875601428345,Nuclei,Granularity
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_16of20,0.0024527666312392934,Cytoplasm,RadialDistribution
Nuclei_RadialDistribution_MeanFrac_ER_1of4,0.002449598603042042,Nuclei,RadialDistribution
Nuclei_Granularity_6_AGP,0.0024461050861698044,Nuclei,Granularity
Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4,0.002432457080503809,Cytoplasm,RadialDistribution
Cells_AreaShape_Zernike_6_0,0.002432032420412205,Cells,AreaShape
Cytoplasm_Texture_Contrast_DNA_5_03_256,0.002431620139446815,Cytoplasm,Texture
Nuclei_Texture_Contrast_Mito_5_03_256,0.0024307445812675205,Nuclei,Texture
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_18of20,0.002423931143504368,Cytoplasm,RadialDistribution
Cells_RadialDistribution_RadialCV_AGP_3of4,0.002421099856811842,Cells,RadialDistribution
Nuclei_Correlation_RWC_DNA_ER,0.0024202886875458974,Nuclei,Correlation
Cells_Intensity_MaxIntensityEdge_AGP,0.0024137582380665532,Cells,Intensity
Cytoplasm_Texture_Correlation_Mito_5_01_256,0.002408616557461625,Cytoplasm,Texture
Nuclei_Texture_SumVariance_Mito_5_02_256,0.002407657937811304,Nuclei,Texture
Cells_Granularity_16_Mito,0.0024063743261779433,Cells,Granularity
Nuclei_AreaShape_Zernike_8_0,0.002403602219346794,Nuclei,AreaShape
Nuclei_Texture_Contrast_Mito_3_03_256,0.002403503835860517,Nuclei,Texture
Cells_AreaShape_Zernike_6_4,0.002401389507379333,Cells,AreaShape
Nuclei_Texture_Contrast_AGP_10_01_256,0.0023973968072511656,Nuclei,Texture
Nuclei_Granularity_13_Mito,0.0023961247672273853,Nuclei,Granularity
Cells_Texture_AngularSecondMoment_Mito_10_02_256,0.0023889014776380334,Cells,Texture
Cells_AreaShape_Zernike_7_3,0.0023827818679118145,Cells,AreaShape
Nuclei_Correlation_K_ER_AGP,0.0023818710708318185,Nuclei,Correlation
Nuclei_Texture_SumVariance_Mito_3_00_256,0.0023737414680597016,Nuclei,Texture
Nuclei_Texture_InfoMeas2_AGP_3_03_256,0.0023708620828360185,Nuclei,Texture
Cells_RadialDistribution_MeanFrac_mito_tubeness_11of20,0.0023700745569242695,Cells,RadialDistribution
Cells_Texture_AngularSecondMoment_Mito_10_01_256,0.0023565274537811222,Cells,Texture
Nuclei_Granularity_16_Mito,0.0023513477395629575,Nuclei,Granularity
Cytoplasm_Texture_Variance_DNA_5_02_256,0.002350633593585891,Cytoplasm,Texture
Nuclei_Parent_NucleiIncludingEdges,0.00234734718650673,Nuclei,Parent
Nuclei_Texture_Variance_Mito_3_03_256,0.0023444018901968124,Nuclei,Texture
Cells_RadialDistribution_MeanFrac_mito_tubeness_14of16,0.002343005707329472,Cells,RadialDistribution
Cells_Texture_AngularSecondMoment_Mito_5_01_256,0.002335300694992059,Cells,Texture
Nuclei_Correlation_K_AGP_RNA,0.002332914131568811,Nuclei,Correlation
Cytoplasm_Texture_DifferenceEntropy_DNA_5_02_256,0.0023300319041715868,Cytoplasm,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_11of20,0.0023292447300523886,Cells,RadialDistribution
Cells_Intensity_MaxIntensityEdge_RNA,0.0023258369987680843,Cells,Intensity
Cytoplasm_RadialDistribution_RadialCV_AGP_1of4,0.002318911818510969,Cytoplasm,RadialDistribution
Cytoplasm_AreaShape_Zernike_7_1,0.0023174655834113113,Cytoplasm,AreaShape
Nuclei_Texture_SumVariance_Mito_5_03_256,0.0023159795168560646,Nuclei,Texture
Cells_RadialDistribution_MeanFrac_mito_tubeness_2of16,0.0023120648502377404,Cells,RadialDistribution
Cytoplasm_Granularity_13_AGP,0.002311420231095066,Cytoplasm,Granularity
Cells_RadialDistribution_FracAtD_mito_tubeness_9of16,0.002309612948946389,Cells,RadialDistribution
Cytoplasm_Correlation_K_Mito_ER,0.002304443389917391,Cytoplasm,Correlation
Cells_RadialDistribution_MeanFrac_mito_tubeness_9of16,0.002303814223372943,Cells,RadialDistribution
Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.0023020704208075973,Cytoplasm,Intensity
Nuclei_Texture_Variance_AGP_10_01_256,0.0022995972262080094,Nuclei,Texture
Cells_Granularity_13_AGP,0.002297363851630507,Cells,Granularity
Cells_RadialDistribution_MeanFrac_mito_tubeness_17of20,0.002295837240302977,Cells,RadialDistribution
Cells_Texture_InfoMeas1_DNA_3_00_256,0.0022952645203622524,Cells,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_2of16,0.002293511344084566,Cells,RadialDistribution
Cells_RadialDistribution_FracAtD_mito_tubeness_3of20,0.002292253509370182,Cells,RadialDistribution
Cytoplasm_Texture_InfoMeas2_AGP_3_02_256,0.0022880453190425344,Cytoplasm,Texture
Cytoplasm_Granularity_14_DNA,0.002285118343783584,Cytoplasm,Granularity
Cytoplasm_Intensity_LowerQuartileIntensity_DNA,0.0022799854556901015,Cytoplasm,Intensity
Cells_Intensity_MassDisplacement_RNA,0.0022794066314502613,Cells,Intensity
Cytoplasm_Granularity_7_ER,0.0022769906235251777,Cytoplasm,Granularity
Cytoplasm_Texture_InfoMeas2_AGP_5_03_256,0.002274366805234292,Cytoplasm,Texture
Cytoplasm_Texture_Variance_DNA_5_03_256,0.002270002742957981,Cytoplasm,Texture
Nuclei_Intensity_MassDisplacement_AGP,0.0022669651527940007,Nuclei,Intensity
Nuclei_Texture_Entropy_DNA_10_02_256,0.00225904612688672,Nuclei,Texture
Nuclei_Texture_SumVariance_Mito_10_02_256,0.002257929153209781,Nuclei,Texture
Cells_Intensity_MaxIntensity_DNA,0.0022543592551161444,Cells,Intensity
Nuclei_Texture_InfoMeas1_AGP_3_00_256,0.0022518252451871894,Nuclei,Texture
Cytoplasm_Granularity_6_AGP,0.0022504194218137333,Cytoplasm,Granularity
Nuclei_Correlation_RWC_DNA_Mito,0.002245996973423254,Nuclei,Correlation
Cells_Correlation_RWC_ER_DNA,0.0022435190167951597,Cells,Correlation
Nuclei_Texture_SumVariance_Mito_5_00_256,0.002242897796116137,Nuclei,Texture
Nuclei_Texture_Correlation_DNA_10_02_256,0.002242610071447676,Nuclei,Texture
Nuclei_Texture_Correlation_DNA_3_03_256,0.002241439113526472,Nuclei,Texture
Nuclei_Texture_Correlation_RNA_10_03_256,0.0022369708476721174,Nuclei,Texture
Nuclei_Texture_Variance_Mito_10_02_256,0.002235445238833823,Nuclei,Texture
Cytoplasm_Granularity_14_Mito,0.0022351877124668004,Cytoplasm,Granularity
Nuclei_Texture_SumVariance_Mito_10_01_256,0.0022345355760002607,Nuclei,Texture
Cytoplasm_AreaShape_Zernike_6_2,0.0022333889088458495,Cytoplasm,AreaShape
Cells_RadialDistribution_RadialCV_mito_tubeness_11of16,0.0022299166182762876,Cells,RadialDistribution
Cells_RadialDistribution_RadialCV_mito_tubeness_9of16,0.002222457148163812,Cells,RadialDistribution
