drug_name,pathway,shap_morpho_total,shap_morgan_total,morpho_pct
ML323,Protein stability and degradation,0.0005905504340926753,0.00011391394219488742,83.82970863690804
Entospletinib,"Other, kinases",0.0011850405503641699,8.657791925719685e-05,93.19151763476854
Ribociclib,Cell cycle,0.001076059384519919,0.00010219230083127057,91.32678509169192
AGI-6780,Metabolism,0.0009028568270483873,0.0001032991826675515,89.73328373830265
Acetalax,Unclassified,0.0005990339223733113,6.741031840818389e-05,89.88507750788929
BEN,Unclassified,0.0012701952930942507,6.175466779237697e-05,95.36358950367256
LY2109761,Other,0.0023044592503385546,0.0001689416355076514,93.16966220581536
OF-1,Chromatin histone acetylation,0.0006005737631270892,6.72162220719248e-05,89.93452678810493
MN-64,WNT signaling,0.0007597574345905899,9.636496175491165e-05,88.74402046176326
Buparlisib,PI3K/MTOR signaling,0.002543671667526346,7.872874940853796e-05,96.99783645166752
Venetoclax,Apoptosis regulation,0.0005068818572238163,0.000202467522053829,71.45729199622214
AGI-5198,Metabolism,0.0007242210519699884,0.0001269982970965068,85.08042642172293
Osimertinib,EGFR signaling,0.0010261659773237487,0.00012017962310346877,89.51628347867515
Cediranib,RTK signaling,0.001053907403937581,8.143885708154601e-05,92.8269586224344
GNE-317,PI3K/MTOR signaling,0.0026527609980668025,9.124982682609528e-05,96.67458211176493
GSK2578215A,"Other, kinases",0.0011493625731466173,0.00014677792762601838,88.67577029353505
I-BRD9,Chromatin other,0.0008353869383920357,0.0001473573748890407,85.00552250492701
NVP-ADW742,IGF1R signaling,0.0006121838693447121,9.569044694458578e-05,86.48200044236688
P22077,Protein stability and degradation,0.000673997826293777,9.76598193828278e-05,87.34415191374178
UMI-77,Apoptosis regulation,0.0005888532227195604,7.823240967699818e-05,88.27250867389513
WIKI4,WNT signaling,0.0010459875641859733,0.00012365489490915628,89.42797485268966
UNC0638,Chromatin histone methylation,0.0012961821666999797,7.595998775683185e-05,94.46413132122582
Foretinib,RTK signaling,0.002058467300977024,7.635800377975288e-05,96.42322003539992
Pyridostatin,DNA replication,0.0007114167822834692,7.122214772117494e-05,90.89974380385699
Remodelin,Unclassified,0.0009177781113571008,0.0001328374322651744,87.35622815866762
LJI308,PI3K/MTOR signaling,0.0007686045776921946,0.00010071446658130355,88.41455651469455
VE821,Genome integrity,0.000797858621746293,7.110735490653986e-05,91.81701507112649
A-366,Chromatin histone methylation,0.0007759467939836502,0.00013080816767311113,85.57403342639479
UNC0379,Chromatin histone methylation,0.0006603416159810276,7.348947641655848e-05,89.98550522349055
PFI-1,Chromatin other,0.000594640909949599,0.00011757802208216738,83.49130909132822
IOX2,Other,0.0006586436727485059,0.0001075306553282732,85.96524950161245
CHIR-99021,WNT signaling,0.0009163913990389263,0.00010817240548922913,89.44210160351642
alpha-lipoic acid,Metabolism,0.0012784004523566982,0.00018443583558887602,87.39190180687272
Vinblastine,Mitosis,0.003304640621177721,8.069372894458846e-05,97.61637343319802
Cytarabine,Other,0.0017161803846580436,7.742988977603449e-05,95.68301481767185
Methotrexate,DNA replication,0.0009401288553434449,0.0002854494043740795,76.70900229252835
Tretinoin,Other,0.0007121232662364826,8.434954222194622e-05,89.4096143237828
Refametinib,ERK MAPK signaling,0.0007441893763813609,7.807321427986198e-05,90.50507524401914
Veliparib,Genome integrity,0.0008387396794946526,0.00013402165641779318,86.22255516641381
Axitinib,RTK signaling,0.0009618659119609235,8.976553173129995e-05,91.4641643448642
AZD7762,Cell cycle,0.002111785129721657,5.6753707838725015e-05,97.3828595155541
Mirin,Genome integrity,0.0007677688098364101,0.00010409691459705843,88.06044191441293
AZD8055,PI3K/MTOR signaling,0.002865234256026664,0.00013661986724537722,95.44881724310905
